native,class
1 1 1 2 tetrachloroethane concentration,property
1 1 1 trichloroethane concentration,property
1 1 2 2 tetrachloroethane concentration,property
1 1 2 trichloroethane concentration,property
1 1 dichloro 1 propene concentration,property
1 1 dichloroethane concentration,property
1 1 dichloroethene concentration,property
1 2 3 trichlorobenzene concentration,property
1 2 3 trichloropropane concentration,property
1 2 4 trichlorobenzene concentration,property
1 2 4 trimethylbenzene concentration,property
1 2 dibromo 3 chloropropane concentration,property
1 2 dibromoethane concentration,property
1 2 dichlorobenzene concentration,property
1 2 dichloroethane concentration,property
1 2 dichloroethane d4 concentration,property
1 2 dichloropropane concentration,property
1 2 dihydroacenaphthylene concentration,property
1 3 1 4 dimethylbenzene concentration,property
1 3 5 trimethylbenzene concentration,property
1 3 dichlorobenzene concentration,property
1 3 dichloropropane concentration,property
1 4 dichlorobenzene concentration,property
1 bromo 4 fluorobenzene concentration,property
1 chloro 2 methylbenzene concentration,property
1 chloro 4 methylbenzene concentration,property
1 phenylbutane concentration,property
2 2 dichloropropane concentration,property
2 2 dimethylpropane concentration,property
2 4 5 trichlorophenol concentration,property
2 4 6 tribromophenol concentration,property
2 4 6 trichlorophenol concentration,property
2 4 dichlorophenol concentration,property
2 4 dimethylphenol concentration,property
2 6 dichlorophenol concentration,property
2 chlorophenol 3 4 5 6 d4 concentration,property
2 chlorophenol concentration,property
2 fluorobiphenyl concentration,property
2 methoxy 2 methylpropane concentration,property
2 methylphenol concentration,property
2 nitrophenol concentration,property
20 day biochemical oxygen demand,property
20 day nitrogenous biochemical oxygen demand,property
36cl cl ratio,property
4 chloro 3 methylphenol concentration,property
4 isopropyltoluene concentration,property
4 methylpentan 2 one concentration,property
4 terphenyl d14 concentration,property
5 day biochemical oxygen demand,property
5 day carbonaceous biochemical oxygen demand,property
5 day nitrogenous biochemical oxygen demand,property
absorption by colored dissolved organic matter,property
absorption by coloured and detrital matter,property
absorption by non algal particles,property
absorption by particles,property
absorption by phytoplankton,property
acenaphthylene concentration,property
actinide concentration,property
active sediment layer thickness,property
air pressure,property
3pm temperature,property
air temperature,property
9am temperature,property
air temperature 4m above ground level,property
air temperature 1m above ground level,property
minimum temperature,property
air temperature 2m above ground level,property
temperature inside aws electronics box,property
temperature,property
maximum temperature,property
albuminoid nitrogen concentration,property
aldrin concentration,property
alkali metal concentration,property
alkaline earth metal concentration,property
alpha endosulfan concentration,property
alpha hexachlorocyclohexane concentration,property
aluminium concentration,property
ammonia and ammonium as n concentration,property
ammonia and ammonium as nh4 concentration,property
ammonia and ammonium concentration,property
ammonia as n concentration,property
ammonia concentration,property
ammonium as n concentration,property
ammonium nh4 concentration,property
anion concentration,property
anthracene concentration,property
anthracene d10 concentration,property
antimony concentration,property
arsenic concentration,property
attenuation coefficient with depth,property
backscatter by non algal particles,property
backscatter by particles,property
backscatter by phytoplankton,property
bacteria total plate count,property
barium concentration,property
barometric pressure,property
benzaanthracene concentration,property
benzene  toluene  ethylbenzene  xylene concentration,property
benzene concentration,property
benzoapyrene concentration,property
benzobfluoranthene concentration,property
benzoghiperylene concentration,property
benzokfluoranthene concentration,property
beryllium concentration,property
beta endosulfan concentration,property
bicarbonate alkalinity as caco3,property
bicarbonate concentration,property
biochemical oxygen demand,property
bismuth concentration,property
boron concentration,property
bromide concentration,property
bromine concentration,property
bromobenzene concentration,property
bromochloromethane concentration,property
bromodichloromethane concentration,property
bromomethane concentration,property
bromophos ethyl concentration,property
butane concentration,property
butanone concentration,property
c10   c14 hydrocarbon fraction concentration,property
c10   c236 hydrocarbon fraction concentration,property
c10 c14 hydrocarbon fraction concentration,property
c10 c236 hydrocarbon fraction concentration,property
c15   c28 hydrocarbon fraction concentration,property
c15 c28 hydrocarbon fraction concentration,property
